text,type
Nintendo trademarked the phrase “It’s on like Donkey Kong” in 2010.,facts
"The famous line in Titanic from Leonardo DiCaprio, “I’m king of the world!” was improvised.",facts
A single strand of Spaghetti is called a “Spaghetto”.,facts
Hershey’s Kisses are named that after the kissing sound the deposited chocolate makes as it falls from the machine on the conveyor belt.,facts
"Princess Peach didn’t move until 1988, designers believed it was too complicated to make her a movable character.",facts
"To leave a party without telling anyone is called in English, a “French Exit”. In French, it’s called a “partir à l’anglaise”, to leave like the English.",facts
"If you cut down a cactus in Arizona, you’ll be penalized up to 25 years in jail. It is similar to cutting down a protected tree species.",facts
The Buddha commonly depicted in statues and pictures is a different person entirely. The real Buddha was actually incredibly skinny because of self-deprivation.,facts
"In Colorado, USA, there is still an active volcano. It last erupted about the same time as the pyramids were being built in Egypt.",facts
The first movie ever to put out a motion-picture soundtrack was Snow White and the Seven Dwarves.,facts
"Fruit stickers are edible, though the same with any fruit, washing prior to eating is recommended. The glue used for them is regulated by the FDA.",facts
The scientific name for Giant Anteater is Myrmecophaga Tridactyla. This means “ant eating with three fingers”.,facts
Astronaut is a compound word derived from the two Ancient Greek words “Astro” meaning “star” and “naut” meaning “sailor”. So astronaut literally means “star sailor”.,facts
The flashes of colored light you see when you rub your eyes are called “phosphenes”.,facts
"At birth, a baby panda is smaller than a mouse.",facts
Iceland does not have a railway system.,facts
"The largest known prime number has 17,425,170 digits. The new prime number is 2 multiplied by itself 57,885,161 times, minus 1.",facts
"Forrest Fenn, an art dealer and author, hid a treasure chest in the Rocky Mountains worth over 1 million dollars. It still has not been found.",facts
The lead singer of The Offspring started attending school to achieve a doctorate in molecular biology while still in the band. He graduated in May 2017.,facts
The tongue is the only muscle in one’s body that is attached from one end.,facts
"There is a company in Japan that has schools that teach you how to be funny. The first one opened in 1982. About 1,000 students take the course each year.",facts
The Lego Group is the world’s most powerful brand. There are more Lego minifigures than there are people on Earth.,facts
The Bagheera kiplingi spider was discovered in the 1800’s and is the only species of spider that has been classified as vegetarian.,facts
"The Roman – Persian wars are the longest in history, lasting over 680 years. They began in 54 BC and ended in 628 AD.",facts
"Elvis was originally blonde. He started coloring his hair black for an edgier look. Sometimes, he would touch it up himself using shoe polish.",facts
"If you translate “Jesus” from Hebrew to English, the correct translation is “Joshua”. The name “Jesus” comes from translating the name from Hebrew, to Greek, to Latin, to English.",facts
"Ed Sheeran bought a ticket to LA with no contacts. He was spotted by Jamie Foxx, who offered him the use of his recording studio and a bed in his Hollywood home for six weeks.",facts
The first service animals were established in Germany during World War I. References to service animals date as far back as the mid-16th Century.,facts
An 11-year-old girl proposed the name for Pluto after the Roman god of the Underworld.,facts
"The voice actor of SpongeBob and the voice actor of Karen, Plankton’s computer wife, have been married since 1995.",facts
"An Italian banker, Gilberto Baschiera is considered a modern-day Robin Hood. Over the course of 7 years, he secretly diverted 1 million euros to poorer clients from the wealthy ones so they could qualify for loans. He made no profit and avoided jail in 2018 due to a plea bargain.",facts
"Octopuses and squids have beaks. The beak is made of keratin – the same material that a bird’s beak, and our fingernails are made of.",facts
An estimated 50% of all gold ever mined on Earth came from a single plateau in South Africa: Witwatersrand.,facts
75% of the world’s diet is produced from just 12 plant and five different animal species.,facts
The original Star Wars premiered on just 32 screens across the U.S. in 1977. This was to produce buzz as the release widened to more theaters.,facts
"The British government coined the slogan, “Keep Calm and Carry on” during World War 2 in order to motivate citizens to stay strong.",facts
"Tirana, the capital of Albania has a lot of things in common with other European capitals – except one.  It’s one of two capitals without a McDonalds. The second is Vatican City.",facts
"Sour Patch Kids are from the same manufacturer as Swedish Fish. The red Sour Patch Kids are the same candy as Swedish Fish, but with sour sugar.",facts
The largest Japanese population outside of Japan stands at 1.6 million people who live in Brazil.,facts
"IKEA is an acronym which stands for Ingvar Kamprad Elmtaryd Agunnaryd, which is the founder’s name, farm where he grew up, and hometown.",facts
"In 2009, Stephen Hawking held a reception for time travelers, but didn’t publicize it until after. This way, only those who could time travel would be able to attend. Nobody else attended.",facts
Violin bows are commonly made from horse hair.,facts
There are less than 30 ships in the Royal Canadian Navy which is less than most third-world countries.,facts
"Larry the Cable Guy’s real name is Daniel Lawrence Whitney. His notable Southern accent is fake – he was born and raised in the mid-west, not the South.",facts
The youngest Pope in history was Pope Benedict IX who was 11 years old at the time of election. He is also the only person to have been the Pope more than once.,facts
"Costa Coffee employs Gennaro Pelliccia as a coffee taster, who has had his tongue insured for £10 million since 2009.",facts
Johnny Cash took only three voice lessons before his teacher advised him to stop taking lessons and to never deviate from his natural voice.,facts
"There is an island called “Just Enough Room”, where there’s just enough room for a tree and a house.",facts
People who post their fitness routine to Facebook are more likely to have psychological problems.,facts
Medieval chastity belts are a myth. A great majority of examples now existing were made in the 18th and 19th centuries as jokes.,facts
"Nowadays, millionaires with just $1 million isn’t considered wealthy anymore by most Americans. Now, the typical American sees at least $2.4 million as wealthy.",facts
Hanna-Barbera pitched The Flintstones to networks for 8 weeks before it was finally picked up. It became the first ever animated show to air during primetime.,facts
"There is a company that sells mirrors that make people look 10 pounds thinner. Overall, the mirrors have contributed to 54% of total sales for retailers that use it.",facts
There’s no period in “Dr. Pepper”. It was removed because the old logo font made it look like “Di: Pepper”.,facts
"Standing around burns calories. On average, a 150 pound person burns 114 calories per hour while standing and doing nothing.",facts
"Although GPS is free for the world to use, it costs $2 million per day to operate. The money comes from American tax revenue.",facts
"In World War II, Germany tried to collapse the British economy by dropping millions of counterfeit bills over London.",facts
"The human eye is so sensitive that, if the Earth were flat and it was a dark night, a candle’s flame could be seen from 30 miles away.",facts
"When Space Invaders was created, Tomohiro Nishikado left in the lag caused by more invaders on the screen in order to create greater difficulty in the games.",facts
"65% of autistic kids are left-handed, and only 10% of people in general are left-handed.",facts
"In 2007, Scotland spent £125,000 devising a new national slogan. The winning entry was: “Welcome to Scotland”.",facts
"Until 2016, the “Happy Birthday” song was not for public use. Meaning, prior to 2016, the song was copyrighted and you had to pay a license to use it.",facts
There is a punctuation mark used to signify irony or sarcasm that looks like a backwards question mark ⸮,facts
Lettuce is a member of the sunflower family.,facts
"Researches have found that flossing your teeth can help your memory. Flossing prevents gum disease, which prevents stiff blood vessels, which cause memory issues.",facts
"A cluster of bananas is called a “hand”. Along that theme, a single banana is called a “finger”.",facts
"The Hobbit has been published in two editions. In the first edition, Gollum willingly bet on his ring in the riddle game.",facts
"For nearly 60 years, Texas didn’t have an official state flag between 1879 & 1933. During that time, the Lone Star flag was the active, but unofficial flag.",facts
"A wildlife technician, Richard Thomas, took the famous tongue twister, “how much wood would a woodchuck chuck if a woodchuck could chuck wood” and calculated a rough estimate of what the answer would actually be. It came out to be around 700 pounds.",facts
Red Solo cups are a common souvenir to bring back from the United States. The novelty comes from the cups being used in many party scenes in movies.,facts
Swedish meatballs originated from a recipe King Charles XII brought back from Turkey in the early 1800s.,facts
Those cute furry bits inside a cat’s ear are called “ear furnishings”. They ensure that dirt doesn’t go inside and also helps them to hear well.,facts
Scientists discovered sharks that are living in an active underwater volcano. Divers cannot investigate because they would get burns from the acidity and heat.,facts
There are times when Pluto is closer to the Sun than Neptune – one of these timelines was from 1979 to 1999.,facts
"There is a town in Nebraska called Monowi with a population of one. The only resident is a woman who is the Mayor, Bartender and Librarian.",facts
The Ethiopian calendar is 7.5 years behind the Gregorian calendar due to the fact that it has 13 months.,facts
"In 1994, the company who had a patent on GIFs tried to charge a fee for using GIFS. The PNG was invented as an alternative, and the company backed down.",facts
China is spending $3 billion dollars to build panda shaped solar farms in order to get more young people interested in renewable energy.,facts
Mercury and Venus are the only two planets in our solar system that do not have any moons.,facts
The average American child is given $3.70 per tooth that falls out.,facts
"To properly write adjectives in order, you would list them by amount, value, size, temperature, age, shape, color, origin, and material.",facts
Daniel Radcliffe was allergic to his Harry Potter glasses.,facts
"If you point your car keys to your head, it increases the remote’s signal range.",facts
The world’s largest grand piano was built by a 15-year-old in New Zealand.,facts
German Chocolate Cake is named after an American baker by the name of Samuel German.,facts
"Apple paid a couple $1.7 million dollars for their plot of land, which was only worth $181,700.",facts
There were only 9 developers on the team for GoldenEye 007 for Nintendo 64.,facts
"There is an underwater version of rugby, unsurprisingly called “underwater rugby”.",facts
"When mice live in the wild, they typically only live for about six months.",facts
Saint Lucia is the only country in the world named after a woman.,facts
"APSaA has 38 affiliated societies which have 10 or more active members who practice in a given geographical area.
",statements
"The aims of APSaA and other psychoanalytical organizations are: provide ongoing educational opportunities for its members, stimulate the development and research of psychoanalysis, provide training and organize conferences.
",statements
"There are eight affiliated study groups in the United States.
",statements
"A study group is the first level of integration of a psychoanalytical body within the IPA, followed by a provisional society and finally a member society.[citation needed]
",statements
"The Division of Psychoanalysis (39) of the American Psychological Association (APA) was established in the early 1980s by several psychologists.
",statements
"Until the establishment of the Division of Psychoanalysis, psychologists who had trained in independent institutes had no national organization.
",statements
"The Division of Psychoanalysis now has approximately 4,000 members and approximately 30 local chapters in the United States.
",statements
"The Division of Psychoanalysis holds two annual meetings or conferences and offers continuing education in theory, research and clinical technique, as do their affiliated local chapters.
",statements
"The European Psychoanalytical Federation (EPF) is the organization which consolidates all European psychoanalytic societies.
",statements
"This organization is affiliated with the IPA.
",statements
"In 2002 there were approximately 3,900 individual members in 22 countries, speaking 18 different languages.
",statements
"There are also 25 psychoanalytic societies.[citation needed]
",statements
"The American Association of Psychoanalysis in Clinical Social Work (AAPCSW) was established by Crayton Rowe in 1980 as a division of the Federation of Clinical Societies of Social Work and became an independent entity in 1990.
",statements
"Until 2007 it was known as the National Membership Committee on Psychoanalysis.
",statements
"The organization was founded because although social workers represented the larger number of people who were training to be psychoanalysts, they were underrepresented as supervisors and teachers at the institutes they attended.
",statements
"AAPCSW now has over 1000 members and has over 20 chapters.
",statements
"It holds a bi-annual national conference and numerous annual local conferences.[citation needed]
",statements
"Experiences of psychoanalysts and psychoanalytic psychotherapists and research into infant and child development have led to new insights.
",statements
"Theories have been further developed and the results of empirical research are now more integrated in the psychoanalytic theory.
",statements
"United Kingdom
",statements
"The London Psychoanalytical Society was founded by Ernest Jones on 30 October 1913.[citation needed] After World War I with the expansion of psychoanalysis in the United Kingdom, the Society was reconstituted and named the British Psychoanalytical Society in 1919.
",statements
"Soon after, the Institute of Psychoanalysis was established to administer the Society's activities.
",statements
"These include: the training of psychoanalysts, the development of the theory and practice of psychoanalysis, the provision of treatment through The London Clinic of Psychoanalysis, the publication of books in The New Library of Psychoanalysis and Psychoanalytic Ideas.
",statements
"The Institute of Psychoanalysis also publishes The International Journal of Psychoanalysis, maintains a library, furthers research, and holds public lectures.
",statements
"The society has a Code of Ethics and an Ethical Committee.
",statements
"The society, the institute and the clinic are all located at Byron House in West London.[citation needed]
",statements
"The Society is a constituent society of the International Psychoanalytical Association, IPA, a body with members on all five continents which safeguards professional and ethical practice.[citation needed] The Society is a member of the British Psychoanalytic Council (BPC); the BPC publishes a register of British psychoanalysts and psychoanalytical psychotherapists.
",statements
"All members of the British Psychoanalytic Council are required to undertake continuing professional development, CPD.
",statements
"Members of the Society teach and hold posts on other approved psychoanalytic courses, e.g.: British Psychotherapy Foundation and in academic departments, e.g.University College London.
",statements
"Members of the Society have included: Michael Balint, Wilfred Bion, John Bowlby, Ronald Fairbairn, Anna Freud, Harry Guntrip, Melanie Klein, Donald Meltzer, Joseph J.
",statements
"Sandler, Hanna Segal, J.
",statements
"D.
",statements
"Sutherland and Donald Winnicott.
",statements
"The Institute of Psychoanalysis is the foremost publisher of psychoanalytic literature.
",statements
"The 24-volume Standard Edition of the Complete Psychological Works of Sigmund Freud was conceived, translated, and produced under the direction of the British Psychoanalytical Society.
",statements
"The Society, in conjunction with Random House, will soon publish a new, revised and expanded Standard Edition.
",statements
"With the New Library of Psychoanalysis the Institute continues to publish the books of leading theorists and practitioners.
",statements
"The International Journal of Psychoanalysis is published by the Institute of Psychoanalysis.
",statements
"Now in its 84th year, it has one of the largest circulations of any psychoanalytic journal.[citation needed]
",statements
"India
",statements
"This section needs expansion.
",statements
"You can help by adding to it.
",statements
"(October 2020)
",statements
"Psychoanalytical practice is emerging slowly in India, but is not yet recognised by the government.
",statements
"In 2016, India decriminalised suicide in its mental health bill.
",statements
"Psychoanalytic psychotherapy
",statements
"There are different forms of psychoanalysis and psychotherapies in which psychoanalytic thinking is practiced.
",statements
"Besides classical psychoanalysis there is for example psychoanalytic psychotherapy, a therapeutic approach which widens ""the accessibility of psychoanalytic theory and clinical practices that had evolved over 100 plus years to a larger number of individuals."" Other examples of well known therapies which also use insights of psychoanalysis are mentalization-based treatment (MBT), and transference focused psychotherapy (TFP).
",statements
"There is also a continuing influence of psychoanalytic thinking in mental health care.
",statements
"Research
",statements
"Over a hundred years of case reports and studies in the journal Modern Psychoanalysis, the Psychoanalytic Quarterly, the International Journal of Psychoanalysis and the Journal of the American Psychoanalytic Association have analyzed the efficacy of analysis in cases of neurosis and character or personality problems.
",statements
"Psychoanalysis modified by object relations techniques has been shown to be effective in many cases of ingrained problems of intimacy and relationship (cf.
",statements
"the many books of Otto Kernberg).
",statements
"Psychoanalytic treatment, in other situations, may run from about a year to many years, depending on the severity and complexity of the pathology.
",statements
"Psychoanalytic theory has, from its inception, been the subject of criticism and controversy.
",statements
"Freud remarked on this early in his career, when other physicians in Vienna ostracized him for his findings that hysterical conversion symptoms were not limited to women.
",statements
"Challenges to analytic theory began with Otto Rank and Alfred Adler (turn of the 20th century), continued with behaviorists (e.g.
",statements
"Wolpe) into the 1940s and '50s, and have persisted (e.g.
",statements
"Miller).
",statements
"Criticisms come from those who object to the notion that there are mechanisms, thoughts or feelings in the mind that could be unconscious.
",statements
"Criticisms also have been leveled against the idea of ""infantile sexuality"" (the recognition that children between ages two and six imagine things about procreation).
",statements
"Criticisms of theory have led to variations in analytic theories, such as the work of Ronald Fairbairn, Michael Balint, and John Bowlby.
",statements
"In the past 30 years or so, the criticisms have centered on the issue of empirical verification.
",statements
"Psychoanalysis has been used as a research tool into childhood development (cf.
",statements
"the journal The Psychoanalytic Study of the Child), and has developed into a flexible, effective treatment for certain mental disturbances.
",statements
"In the 1960s, Freud's early (1905) thoughts on the childhood development of female sexuality were challenged; this challenge led to major research in the 1970s and 80s, and then to a reformulation of female sexual development that corrected some of Freud's concepts.
",statements
"Also see the various works of Eleanor Galenson, Nancy Chodorow, Karen Horney, Françoise Dolto, Melanie Klein, Selma Fraiberg, and others.
",statements
"Most recently, psychoanalytic researchers who have integrated attachment theory into their work, including Alicia Lieberman, Susan Coates, and Daniel Schechter have explored the role of parental traumatization in the development of young children's mental representations of self and others.
",statements
"Effectiveness
",statements
"The psychoanalytic profession has been resistant to researching efficacy.
",statements
"Evaluations of effectiveness based on the interpretation of the therapist alone cannot be proven.
",statements
"Research results
",statements
"Meta-analyses in 2012 and 2013 found support or evidence for the efficacy of psychoanalytic therapy, thus further research is needed.
",statements
"Other meta-analyses published in the recent years showed psychoanalysis and psychodynamic therapy to be effective, with outcomes comparable or greater than other kinds of psychotherapy or antidepressant drugs, but these arguments have also been subjected to various criticisms.
",statements
"In particular, the inclusion of pre/post studies rather than randomized controlled trials, and the absence of adequate comparisons with control treatments is a serious limitation in interpreting the results.
",statements
"In 2011, the American Psychological Association made 103 comparisons between psychodynamic treatment and a non-dynamic competitor and found that 6 were superior, 5 were inferior, 28 had no difference and 63 were adequate.
",statements
"The study found that this could be used as a basis ""to make psychodynamic psychotherapy an 'empirically validated' treatment.""[further explanation needed]
",statements
"Meta-analyses of Short Term Psychodynamic Psychotherapy (STPP) have found effect sizes (Cohen's d) ranging from .34 to .71 compared to no treatment and was found to be slightly better than other therapies in follow up.
",statements
"Other reviews have found an effect size of .78 to .91 for somatic disorders compared to no treatment and .69 for treating depression.
",statements
"A 2012 Harvard Review of Psychiatry meta-analysis of Intensive Short-Term Dynamic Psychotherapy (ISTDP) found effect sizes ranging from .84 for interpersonal problems to 1.51 for depression.
",statements
"Overall ISTDP had an effect size of 1.18 compared to no treatment.
",statements
"A meta-analysis of Long Term Psychodynamic Psychotherapy in 2012 found an overall effect size of .33, which is modest.
",statements
"This study concluded the recovery rate following LTPP was equal to control treatments, including treatment as usual, and found the evidence for the effectiveness of LTPP to be limited and at best conflicting.
",statements
"Others have found effect sizes of .44–.68.
",statements
"According to a 2004 French review conducted by INSERM, psychoanalysis was presumed or proven effective at treating panic disorder, post-traumatic stress, and personality disorders, but did not find evidence of its effectiveness in treating schizophrenia, panic disorder, obsessive compulsive disorder, specific phobia, bulimia and anorexia.
",statements
"A 2001 systematic review of the medical literature by the Cochrane Collaboration concluded that no data exist demonstrating that psychodynamic psychotherapy is effective in treating schizophrenia and severe mental illness, and cautioned that medication should always be used alongside any type of talk therapy in schizophrenia cases.
",statements
"A French review from 2004 found the same.
",statements
"The Schizophrenia Patient Outcomes Research Team advises against the use of psychodynamic therapy in cases of schizophrenia, arguing that more trials are necessary to verify its effectiveness.
",statements
"Criticism
",statements
"As a field of science
",statements
"The strongest reason for considering Freud a pseudo-scientist is that he claimed to have tested – and thus to have provided the most cogent grounds for accepting – theories which are either untestable or even if testable had not been tested.
",statements
"It is spurious claims to have tested an untestable or untested theory which are the most pertinent grounds for deeming Freud and his followers pseudoscientists...
",statements
"—Frank Cioffi
",statements
"Both Freud and psychoanalysis have been criticized in extreme terms.
",statements
"Exchanges between critics and defenders of psychoanalysis have often been so heated that they have come to be characterized as the Freud Wars.
",statements
"Early critics of psychoanalysis believed that its theories were based too little on quantitative and experimental research, and too much on the clinical case study method.
",statements
"Some have accused Freud of fabrication, most famously in the case of Anna O.
",statements
"Philosopher Frank Cioffi cites false claims of a sound scientific verification of the theory and its elements as the strongest basis for classifying the work of Freud and his school as pseudoscience.
",statements
"Others have speculated that patients suffered from now easily identifiable conditions unrelated to psychoanalysis; for instance, Anna O.
",statements
"is thought to have suffered from an organic impairment such as tuberculous meningitis or temporal lobe epilepsy and not hysteria (see modern interpretations).
",statements
"Karl Popper argued that psychoanalysis is a pseudoscience because its claims are not testable and cannot be refuted; that is, they are not falsifiable:
",statements
"....those ""clinical observations"" which analysts naively believe confirm their theory cannot do this any more than the daily confirmations which astrologers find in their practice.
",statements
"And as for Freud's epic of the Ego, the Super-ego, and the Id, no substantially stronger claim to scientific status can be made for it than for Homer's collected stories from the Olympus.
",statements
"In addition, Imre Lakatos wrote that ""Freudians have been nonplussed by Popper's basic challenge concerning scientific honesty.
",statements
"Indeed, they have refused to specify experimental conditions under which they would give up their basic assumptions."" In Sexual Desire (1986), philosopher Roger Scruton rejects Popper's arguments pointing to the theory of repression as an example of a Freudian theory that does have testable consequences.
",statements
"Scruton nevertheless concluded that psychoanalysis is not genuinely scientific, on the grounds that it involves an unacceptable dependence on metaphor.
",statements
"The philosopher and physicist Mario Bunge argued that psychoanalysis is a pseudoscience because it violates the ontology and methodology inherent to science.
",statements
"According to Bunge, most psychoanalytic theories are either untestable or unsupported by evidence.
",statements
"Cognitive scientists, in particular, have also weighed in.
",statements
"Martin Seligman, a prominent academic in positive psychology wrote that:
",statements
"Thirty years ago, the cognitive revolution in psychology overthrew both Freud and the behaviorists, at least in academia.… hinking…is not just a  of emotion or behavior.… motion is always generated by cognition, not the other way around.
",statements
"Linguist Noam Chomsky has criticized psychoanalysis for lacking a scientific basis.
",statements
"Steven Pinker considers Freudian theory unscientific for understanding the mind.
",statements
"Evolutionary biologist Stephen Jay Gould considered psychoanalysis influenced by pseudoscientific theories such as recapitulation theory.
",statements
"Psychologists Hans Eysenck (1985) and John F.
",statements
"Kihlstrom (2012/2000) have also criticized the field as pseudoscience.
",statements
"Adolf Grünbaum argues in Validation in the Clinical Theory of Psychoanalysis (1993) that psychoanalytic based theories are falsifiable, but that the causal claims of psychoanalysis are unsupported by the available clinical evidence.
",statements
"Richard Feynman wrote off psychoanalysts as mere ""witch doctors:
",statements
